sampleId,COMID,Lat,Long,pct_NP25km,reference,mEPTR_f,mEPTR_nf,mIR_f,mIR_nf,mMMI_rr_nf,mMMI_rr_f,mMMI_trad_nf,mMMI_trad_f,OoverE_trad0_nf,OoverE_trad0_f,OoverE_trad5_f,OoverE_trad5_nf,OoverE_rra_nf,OoverE_rra_f,OoverE_rrb_nf,OoverE_rrb_f,OoverE_rrb_armor_f,OoverE_rrb_crawl_f,OoverE__rrb_desication_f,OoverE__rrb_dispersal_f,OoverE__rrb_flystrength_f,OoverE__rrb_lifespan_f,OoverE__rrb_maxsize_f,OoverE__rrb_respire_f,OoverE__rrb_rheo_f,OoverE__rrb_swim_f,OoverE__rrb_drift_f,OoverE__rrb_emergence_f,OoverE__rrb_thermal_f,OoverE__rrb_voltinism_f,OoverE__rrb_armor,OoverE__rrb_crawl,OoverE__rrb_desication,OoverE__rrb_dispersal,OoverE__rrb_flystrength,OoverE__rrb_lifespan,OoverE__rrb_maxsize,OoverE__rrb_respire,OoverE__rrb_rheo,OoverE__rrb_swim,OoverE__rrb_drift,OoverE__rrb_emergence,OoverE__rrb_thermal,OoverE__rrb_voltinism,OoverE_dendrogram_group
156110,8235160,40.22843117,-123.0758383,35.99375306,Y,1.252453011,1.210740267,1.091396024,1.108179797,1.245084708,1.211323619,1.265840539,1.250173196,0.994892271,1.00388752,1.154467775,1.078636947,1.005770585,0.994533949,1.055834627,1.031497661,1.055040463,0.877829233,1.292460808,0.917677072,1.20893533,0.973549888,1.091134331,0.925991101,1.234503563,0.835729893,0.941039294,1.19307907,0.903999485,0.989997717,1.068463397,0.862829537,1.42340496,0.952260297,1.240555589,0.983698237,1.108382539,0.92830757,1.271176917,0.810767778,0.952388633,1.260702735,0.923672075,0.995074507,1
156569,10328235,40.40908047,-111.8834534,78.13191998,N,0.085388346,0.084585254,0.184602794,0.166791683,0.635423671,0.633175641,0.676551426,0.67548074,0.363025211,0.363935953,0.641533824,0.642131501,1.297263646,1.295841837,1.47004243,1.469633453,0.037428852,1.332188461,0.149734206,4.038519418,7.004954754,1.874041812,0.682487576,1.142636871,0.0404907,0.053594808,1.658008967,0.036283297,1.63598544,0.888513174,0.037206785,1.323733379,0.150461464,4.052491865,6.988729781,1.867741538,0.684651661,1.142525315,0.040736878,0.053193211,1.669923316,0.036412065,1.64276839,0.890018369,NA
156574,10349108,40.10408906,-111.6763863,66.3066553,N,0,0,0.108443746,0.108958376,0.233400132,0.255401834,0.260967566,0.231974738,0.271959841,0.272594695,0.32084759,0.32168612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
156576,10389786,40.52483658,-111.9131878,71.40616911,N,0.342715161,0.341289891,0.512446276,0.507865807,0.601809398,0.591016434,0.701848925,0.693069053,0.63809459,0.638272088,0.962109267,0.963691157,1.234991953,1.235997602,1.172759415,1.174938885,0.03735972,1.341311112,0.146417346,0.838833206,1.459093141,0.772980289,0.956202429,0.91932946,1.637015782,1.114041658,2.317855936,2.185518714,1.304856732,1.418328866,0.037289573,1.329911324,0.14950433,0.83391961,1.448584075,0.771040888,0.959010741,0.922340677,1.633097524,1.102682005,2.324110883,2.181214716,1.305660035,1.420265423,NA
163650,17834082,35.5543002,-106.1713434,91.80955186,N,0.43750752,0.397668338,0.465142871,0.489064994,0.552662874,0.656402542,0.668604051,0.680614597,0.65046388,0.64890503,0.957301562,0.955787247,1.241395105,1.249399736,1.140703547,1.147908866,0.038318122,0.83556314,0.12701828,0.758137639,1.413130657,0.410643271,1.197358289,1.149398112,1.556809623,0.63224049,2.48652832,2.753413019,1.15047158,1.561693579,0.03850555,0.832172009,0.12641911,0.746718638,1.391618189,0.410974053,1.234140571,1.151980825,1.549457489,0.641810457,2.444441158,2.712872408,1.136830198,1.551909006,NA
163657,17834082,35.5543002,-106.1713434,91.72899617,N,0.680510188,0.57353387,0.533772687,0.535987954,0.79546149,0.908222822,0.877672109,0.91478558,0.65046388,0.648490195,0.638171886,0.637191498,1.223853653,1.23240135,1.251285657,1.258840791,0.512316657,1.208956907,1.702604795,1.39209082,1.749739348,0.969126706,1.083094784,1.010300522,1.224861926,0.774768084,1.758371552,1.735859305,1.19967995,1.301999718,0.515011726,1.204459486,1.690855602,1.368685004,1.722796557,0.970355402,1.115868766,1.012783142,1.217704833,0.787406348,1.726386568,1.708230132,1.184198123,1.293257505,NA
164424,17834064,35.58947967,-106.1419406,91.13847031,N,0.527398344,0.459043736,0.443252587,0.444215491,0.618514573,0.722177485,0.668828352,0.709692007,0.551465745,0.550331581,0.959105864,0.956761521,1.298533141,1.308996546,1.226116822,1.238162741,0.037596598,1.036136802,0.128218806,0.993292489,1.811795077,0.501517658,1.177207985,1.138347799,1.51649003,0.750523271,2.830083139,2.686624885,1.190154696,1.536289133,0.037925652,1.034634362,0.128194391,0.97009128,1.766932685,0.500990364,1.210791881,1.141306635,1.499932563,0.767010592,2.772757299,2.638221545,1.170430578,1.526415678,NA
164431,17834064,35.58947967,-106.1419406,91.57467949,N,0.527854903,0.45774202,0.389430125,0.388838612,0.523072871,0.628443483,0.574892204,0.616785274,0.689332182,0.688571545,0.959267518,0.956761521,1.22365289,1.233137337,1.260879215,1.268281573,0.964444959,0.924770971,2.240873082,1.309765188,1.231070547,0.655967669,1.233015996,1.580798276,1.022634826,0.51982618,1.897129116,1.801342296,1.057436988,1.316865925,0.973425059,0.92272027,2.243401838,1.280897224,1.200828038,0.65538362,1.268448637,1.585148104,1.013112345,0.530636258,1.859067751,1.770500837,1.040382736,1.308356295,NA
164689,3379027,38.56919453,-109.5290961,73.40147644,N,0.450653447,0.503449045,0.49431408,0.608372803,0.573058025,0.490068705,0.56028158,0.492671975,0.69742598,0.673461615,1.094494426,1.096288066,1.147539463,1.161339713,1.037247246,1.046960438,0.456135768,0.831307229,0.152948859,1.292282716,1.300372467,0.420160349,1.174478675,0.970124963,1.037027445,0.646584771,1.981052728,1.891585963,1.139015951,1.364368253,0.481057881,0.832164025,0.183390451,1.233868529,1.28346655,0.429026038,1.288856229,0.988120311,0.962387475,0.637542263,1.905695885,1.821395361,1.112917676,1.361572764,NA
164707,3272678,37.86315907,-109.3975153,84.06619549,N,0.359631378,0.364240396,0.393593608,0.383523642,0.773674845,0.816334929,0.846095262,0.868149169,0.350739755,0.348513067,0.589638944,0.541267908,1.414589914,1.42643888,1.383036643,1.399851367,0.73513356,1.353657424,0.191459856,1.226247296,1.77638744,0.766549535,1.312419671,1.591963935,1.878161934,0.496055328,1.712365538,3.718395982,1.304113485,1.53500815,0.736631811,1.358394497,0.182010271,1.17958396,1.756674855,0.768312409,1.304072707,1.596063399,1.854398978,0.503677907,1.677546834,3.640481818,1.279803345,1.524860204,NA
